DAUID,low_income,minority,total_pop,total_pop_census,seniors,lone_parent,recent_immigrant,youth_15_24,visible_minority,low_income_lim
48100367,115.0,30.0,712.0,712.0,16.8,25.0,10.0,15.0,30.0,70.0
48110083,45.0,155.0,638.0,638.0,6.3,55.0,35.0,10.0,155.0,145.0
48110084,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
48110085,35.0,275.0,525.0,525.0,7.6,65.0,160.0,45.0,275.0,180.0
48110086,80.0,65.0,385.0,385.0,20.8,25.0,15.0,10.0,65.0,30.0
48110087,0.0,0.0,238.0,238.0,17.0,10.0,0.0,10.0,0.0,0.0
48110088,60.0,10.0,334.0,334.0,16.7,20.0,0.0,0.0,10.0,30.0
48110089,65.0,245.0,483.0,483.0,13.4,40.0,35.0,20.0,245.0,50.0
48110090,75.0,25.0,413.0,413.0,19.3,30.0,20.0,0.0,25.0,30.0
48110091,90.0,65.0,413.0,413.0,22.0,25.0,10.0,15.0,65.0,35.0
48110092,65.0,120.0,371.0,371.0,17.6,25.0,50.0,20.0,120.0,55.0
48110093,70.0,150.0,455.0,455.0,15.4,30.0,80.0,40.0,150.0,45.0
48110094,80.0,80.0,512.0,512.0,14.6,40.0,10.0,20.0,80.0,45.0
48110095,75.0,75.0,480.0,480.0,15.6,40.0,25.0,10.0,75.0,55.0
48110096,55.0,100.0,432.0,432.0,12.8,25.0,20.0,10.0,100.0,35.0
48110097,65.0,135.0,497.0,497.0,14.1,35.0,50.0,10.0,135.0,65.0
48110098,60.0,20.0,386.0,386.0,16.9,20.0,10.0,10.0,20.0,10.0
48110099,45.0,85.0,459.0,459.0,9.8,25.0,30.0,30.0,85.0,65.0
48110100,145.0,55.0,513.0,513.0,28.2,10.0,0.0,10.0,55.0,70.0
48110101,80.0,60.0,448.0,448.0,16.9,20.0,10.0,0.0,60.0,35.0
48110102,45.0,100.0,498.0,498.0,14.0,40.0,40.0,0.0,100.0,75.0
48110103,70.0,45.0,473.0,473.0,14.7,20.0,0.0,0.0,45.0,35.0
48110104,65.0,205.0,482.0,482.0,13.5,35.0,85.0,85.0,205.0,70.0
48110105,65.0,210.0,459.0,459.0,13.0,40.0,55.0,35.0,210.0,95.0
48110106,95.0,155.0,621.0,621.0,15.3,50.0,30.0,15.0,155.0,60.0
48110107,70.0,80.0,574.0,574.0,12.3,40.0,25.0,25.0,80.0,115.0
48110108,65.0,125.0,409.0,409.0,14.8,20.0,45.0,20.0,125.0,105.0
48110109,80.0,135.0,441.0,441.0,18.2,35.0,40.0,50.0,135.0,80.0
48110110,100.0,185.0,564.0,564.0,17.0,50.0,80.0,40.0,185.0,100.0
48110111,45.0,180.0,420.0,420.0,10.7,35.0,70.0,35.0,180.0,95.0
48110112,100.0,155.0,638.0,638.0,21.9,45.0,50.0,0.0,155.0,125.0
48110113,65.0,170.0,611.0,611.0,11.5,55.0,60.0,25.0,170.0,125.0
48110114,85.0,245.0,625.0,625.0,12.8,40.0,75.0,40.0,245.0,70.0
48110115,90.0,175.0,512.0,512.0,17.6,15.0,40.0,30.0,175.0,60.0
48110116,65.0,140.0,463.0,463.0,14.0,30.0,45.0,30.0,140.0,60.0
48110117,80.0,250.0,556.0,556.0,14.4,35.0,50.0,70.0,250.0,60.0
48110118,70.0,130.0,482.0,482.0,13.4,30.0,35.0,45.0,130.0,45.0
48110119,65.0,175.0,512.0,512.0,11.8,45.0,75.0,30.0,175.0,90.0
48110120,140.0,430.0,954.0,954.0,14.7,55.0,125.0,105.0,430.0,195.0
48110121,90.0,335.0,715.0,715.0,12.6,50.0,130.0,75.0,335.0,120.0
48110122,60.0,105.0,411.0,411.0,14.6,30.0,25.0,25.0,105.0,70.0
48110123,55.0,235.0,492.0,492.0,11.1,40.0,95.0,40.0,235.0,135.0
48110124,55.0,200.0,537.0,537.0,9.3,45.0,115.0,55.0,200.0,145.0
48110125,65.0,140.0,595.0,595.0,11.8,30.0,15.0,10.0,140.0,75.0
48110126,235.0,45.0,670.0,670.0,41.8,25.0,25.0,15.0,45.0,120.0
48110127,40.0,175.0,470.0,470.0,7.4,40.0,45.0,65.0,175.0,105.0
48110130,55.0,190.0,486.0,486.0,10.2,30.0,45.0,35.0,190.0,70.0
48110131,40.0,280.0,548.0,548.0,16.4,30.0,80.0,30.0,280.0,105.0
48110132,100.0,925.0,1571.0,1571.0,6.7,80.0,310.0,175.0,925.0,285.0
48110134,35.0,195.0,430.0,430.0,11.6,20.0,80.0,45.0,195.0,90.0
48110135,135.0,140.0,416.0,416.0,38.6,20.0,0.0,35.0,140.0,195.0
48110136,105.0,100.0,609.0,609.0,19.8,50.0,55.0,15.0,100.0,225.0
48110142,20.0,305.0,531.0,531.0,26.4,10.0,105.0,45.0,305.0,135.0
48110144,105.0,300.0,761.0,761.0,13.8,10.0,85.0,15.0,300.0,105.0
48110145,20.0,175.0,467.0,467.0,5.4,10.0,55.0,35.0,175.0,110.0
48110146,95.0,160.0,540.0,540.0,17.6,15.0,50.0,25.0,160.0,125.0
48110148,75.0,35.0,378.0,378.0,20.0,10.0,0.0,0.0,35.0,10.0
48110149,55.0,125.0,398.0,398.0,13.8,5.0,20.0,15.0,125.0,65.0
48110150,50.0,405.0,987.0,987.0,5.6,10.0,115.0,75.0,405.0,155.0
48110153,45.0,295.0,882.0,882.0,25.0,15.0,50.0,35.0,295.0,150.0
48110154,165.0,285.0,947.0,947.0,17.9,10.0,55.0,60.0,285.0,135.0
48110155,105.0,180.0,601.0,601.0,16.7,15.0,25.0,25.0,180.0,80.0
48110156,65.0,10.0,700.0,700.0,55.0,15.0,0.0,15.0,10.0,35.0
48110157,70.0,155.0,662.0,662.0,10.6,15.0,45.0,10.0,155.0,105.0
48110158,185.0,75.0,500.0,500.0,37.0,10.0,10.0,15.0,75.0,50.0
48110159,325.0,220.0,920.0,920.0,35.3,20.0,55.0,65.0,220.0,80.0
48110160,105.0,115.0,473.0,473.0,22.1,15.0,35.0,20.0,115.0,70.0
48110161,225.0,170.0,1141.0,1141.0,19.7,25.0,50.0,10.0,170.0,150.0
48110163,45.0,220.0,449.0,449.0,8.9,25.0,75.0,30.0,220.0,90.0
48110164,100.0,100.0,452.0,452.0,22.0,10.0,25.0,30.0,100.0,65.0
48110165,45.0,195.0,480.0,480.0,10.4,15.0,90.0,20.0,195.0,95.0
48110166,65.0,190.0,598.0,598.0,10.8,5.0,45.0,60.0,190.0,105.0
48110167,40.0,210.0,605.0,605.0,6.6,20.0,85.0,20.0,210.0,105.0
48110169,70.0,185.0,608.0,608.0,12.4,10.0,135.0,30.0,185.0,105.0
48110170,30.0,120.0,422.0,422.0,7.1,20.0,55.0,30.0,120.0,85.0
48110171,55.0,265.0,615.0,615.0,8.9,20.0,135.0,35.0,265.0,165.0
48110172,65.0,160.0,476.0,476.0,13.5,10.0,45.0,35.0,160.0,75.0
48110173,250.0,240.0,825.0,825.0,30.3,20.0,115.0,65.0,240.0,240.0
48110174,125.0,120.0,911.0,911.0,48.9,15.0,50.0,60.0,120.0,70.0
48110176,45.0,100.0,470.0,470.0,10.6,5.0,30.0,0.0,100.0,90.0
48110177,40.0,145.0,447.0,447.0,7.8,20.0,55.0,15.0,145.0,85.0
48110178,130.0,50.0,479.0,479.0,28.1,15.0,0.0,15.0,50.0,75.0
48110179,40.0,120.0,453.0,453.0,8.8,15.0,25.0,10.0,120.0,75.0
48110180,60.0,40.0,449.0,449.0,13.3,15.0,0.0,15.0,40.0,20.0
48110181,65.0,100.0,522.0,522.0,11.4,20.0,30.0,20.0,100.0,45.0
48110182,75.0,90.0,566.0,566.0,12.4,10.0,25.0,15.0,90.0,30.0
48110183,80.0,55.0,523.0,523.0,15.2,15.0,30.0,20.0,55.0,60.0
48110184,60.0,75.0,514.0,514.0,11.7,20.0,10.0,10.0,75.0,65.0
48110185,0.0,45.0,503.0,503.0,59.0,15.0,30.0,10.0,45.0,0.0
48110186,80.0,165.0,686.0,686.0,10.9,50.0,85.0,15.0,165.0,155.0
48110187,45.0,145.0,414.0,414.0,10.8,25.0,95.0,40.0,145.0,120.0
48110188,70.0,35.0,473.0,473.0,16.0,20.0,25.0,0.0,35.0,25.0
48110189,75.0,80.0,568.0,568.0,13.2,10.0,25.0,0.0,80.0,55.0
48110190,95.0,180.0,593.0,593.0,16.1,25.0,70.0,45.0,180.0,150.0
48110191,60.0,275.0,616.0,616.0,9.8,30.0,165.0,45.0,275.0,120.0
48110192,65.0,300.0,616.0,616.0,10.5,35.0,180.0,65.0,300.0,130.0
48110193,25.0,280.0,435.0,435.0,5.7,20.0,170.0,45.0,280.0,95.0
48110194,60.0,305.0,596.0,596.0,10.1,35.0,160.0,20.0,305.0,95.0
48110195,25.0,500.0,615.0,615.0,4.9,40.0,310.0,65.0,500.0,210.0
48110196,35.0,505.0,643.0,643.0,6.2,35.0,225.0,90.0,505.0,175.0
48110198,25.0,295.0,555.0,555.0,3.6,25.0,190.0,50.0,295.0,185.0
48110199,40.0,230.0,754.0,754.0,5.3,35.0,100.0,50.0,230.0,185.0
48110200,125.0,235.0,994.0,994.0,12.1,30.0,70.0,20.0,235.0,110.0
48110201,70.0,505.0,1251.0,1251.0,6.0,25.0,285.0,45.0,505.0,165.0
48110202,35.0,605.0,809.0,809.0,4.3,40.0,350.0,85.0,605.0,295.0
48110203,20.0,285.0,620.0,620.0,2.4,25.0,125.0,50.0,285.0,165.0
48110206,15.0,215.0,426.0,426.0,3.5,15.0,135.0,15.0,215.0,155.0
48110207,175.0,360.0,580.0,580.0,31.0,25.0,85.0,50.0,360.0,185.0
48110208,80.0,390.0,833.0,833.0,10.2,35.0,145.0,30.0,390.0,175.0
48110209,75.0,295.0,445.0,445.0,16.7,25.0,40.0,45.0,295.0,135.0
