Route ID,Name,Mean Score,Robustness (Rr),AB Stability (%),DE Stability (%),Primary Driver
001,001 — Downtown - Capilano,79.68,13.79,96.1%,0.0%,Temporal
002,002 — West Edmonton Mall - Stadium - Clareview,99.62,0.52,100.0%,0.0%,Monopoly
003,003 — Westmount - Stadium,58.21,24.38,55.6%,13.3%,Temporal
004,004 — Lewis Farms - University - Capilano,77.71,18.36,88.4%,0.0%,Opportunity
005,005 — Westmount - Downtown - Coliseum,98.34,2.3,100.0%,0.0%,Opportunity
006,006 — Davies - Southgate,62.67,26.11,63.3%,14.4%,Temporal
007,007 — West Edmonton Mall - Downtown,61.19,27.81,56.2%,18.7%,Opportunity
008,008 — Abbottsfield - Downtown - University,94.09,11.57,99.9%,0.0%,Opportunity
009,009 — Southgate - Eaux Claires,95.15,6.59,100.0%,0.0%,Opportunity
021R,Capital — Capital Line,88.82,14.28,98.4%,0.0%,Opportunity
022R,Metro — Metro Line,84.11,17.07,95.5%,0.0%,Temporal
023R,Valley — Valley Line,68.06,16.16,76.7%,0.0%,Opportunity
031,031 — Leger - University,13.52,4.05,0.1%,99.8%,Vulnerability
051,051 — Castle Downs - University,40.33,11.42,16.0%,24.4%,Vulnerability
052,052 — Northgate - West Edmonton Mall,79.44,15.92,91.9%,0.0%,Vulnerability
053,053 — West Clareview - Mill Woods,83.02,7.82,100.0%,0.0%,Temporal
054,054 — West Edmonton Mall - West Clareview,93.27,6.82,98.9%,0.0%,Opportunity
055,055 — Meadows - Southgate - West Edmonton Mall,84.65,8.29,100.0%,0.0%,Temporal
056,056 — Meadows - Leger - West Edmonton Mall,82.09,17.04,91.5%,0.2%,Vulnerability
101,101 — Stadium - Abbottsfield,79.67,21.34,84.1%,1.8%,Monopoly
102,102 — Kingsway - Coliseum - Abbottsfield,87.5,11.65,100.0%,0.0%,Monopoly
103,103 — Eaux Claires - Castle Downs - Kingsway,97.79,4.43,100.0%,0.0%,Monopoly
104,104 — Coliseum - East Clareview,41.76,12.34,17.5%,27.2%,Monopoly
106,106 — Dunvegan - Northgate - Belvedere,32.28,12.48,1.1%,58.0%,Temporal
107,107 — Belvedere - West Clareview,62.27,22.33,54.9%,8.2%,Vulnerability
108,108 — Belvedere - East Clareview,66.38,12.92,76.5%,0.0%,Temporal
109,109 — Northgate - Castle Downs - Hudson,70.74,22.43,73.6%,3.2%,Vulnerability
110X,110X — Eaux Claires - Downtown,67.22,24.74,66.0%,8.2%,Opportunity
111,111 — Concordia - Westmount,72.71,27.12,72.5%,10.6%,Opportunity
112,112 — Castle Downs - Eaux Claires,51.46,25.25,44.0%,28.2%,Monopoly
113,113 — West Clareview - Northgate,86.88,13.78,97.2%,0.0%,Monopoly
114,114 — West Clareview - Coliseum,80.88,14.68,86.9%,0.0%,Monopoly
116,116 — Abbottsfield - East Clareview,23.77,12.15,0.1%,82.0%,Temporal
117,117 — Eaux Claires - West Clareview,76.91,18.13,86.3%,2.0%,Temporal
118,118 — Eaux Claires - West Clareview,72.83,21.77,77.3%,4.9%,Vulnerability
119,119 — Eaux Claires - West Clareview,65.02,23.42,64.5%,9.0%,Vulnerability
120X,120X — Eaux Claires - Government Centre,66.82,27.52,65.6%,15.0%,Opportunity
121,Fraser - Evergreen,77.05,21.63,80.4%,4.1%,Monopoly
122,122 — Eaux Claires - Lago Lindo - Klarvatten,42.94,17.89,19.4%,29.6%,Temporal
124,124 — Westmount - Eaux Claires,64.76,19.35,69.1%,2.0%,Vulnerability
127,127 — Northgate - White Oaks Square - Castle Downs,29.3,15.92,10.9%,61.0%,Vulnerability
128,128 — Northgate - Londonderry,13.33,3.94,0.1%,99.8%,Opportunity
130X,130X — Baturyn - Eaux Claires - Government Centre,72.97,27.07,73.4%,10.3%,Opportunity
140X,140X — Palisades - Kingsway Express,37.47,18.9,24.3%,42.6%,Vulnerability
150X,150X — Dunluce - Castle Downs - Government Centre,69.25,27.23,68.3%,14.1%,Opportunity
201,201 — Downtown Edmonton Loop,79.15,20.86,87.2%,0.8%,Opportunity
202,202 — Kingsway Tc Via Nait,16.34,7.05,0.2%,93.6%,Opportunity
203,203 — Uofa Via Westmount,44.68,21.82,25.0%,33.1%,Temporal
204,204 — Uofa Express,14.05,4.87,0.1%,98.6%,Vulnerability
