Route ID,Name,Mean Score,Robustness (Rr),AB Stability (%),DE Stability (%),Primary Driver
001,001 — Downtown - Capilano,61.75,12.91,81.0%,0.0%,Opportunity
002,002 — West Edmonton Mall - Stadium - Clareview,99.1,0.19,100.0%,0.0%,Opportunity
003,003 — Westmount - Stadium,38.58,5.67,0.0%,0.0%,Opportunity
004,004 — Lewis Farms - University - Capilano,77.58,12.87,100.0%,0.0%,Opportunity
005,005 — Westmount - Downtown - Coliseum,99.1,0.19,100.0%,0.0%,Opportunity
006,006 — Davies - Southgate,13.32,2.3,0.0%,100.0%,Opportunity
007,007 — West Edmonton Mall - Downtown,10.71,1.71,0.0%,100.0%,Opportunity
008,008 — Abbottsfield - Downtown - University,99.1,0.19,100.0%,0.0%,Opportunity
009,009 — Southgate - Eaux Claires,98.71,0.51,100.0%,0.0%,Opportunity
021R,Capital — Capital Line,98.48,0.72,100.0%,0.0%,Opportunity
022R,Metro — Metro Line,77.65,15.51,100.0%,0.0%,Opportunity
023R,Valley — Valley Line,76.41,7.76,100.0%,0.0%,Opportunity
031,031 — Leger - University,25.36,4.32,0.0%,76.2%,Opportunity
051,051 — Castle Downs - University,79.51,1.81,100.0%,0.0%,Opportunity
052,052 — Northgate - West Edmonton Mall,97.72,0.13,100.0%,0.0%,Opportunity
053,053 — West Clareview - Mill Woods,91.61,0.44,100.0%,0.0%,Opportunity
054,054 — West Edmonton Mall - West Clareview,80.01,4.11,100.0%,0.0%,Vulnerability
055,055 — Meadows - Southgate - West Edmonton Mall,82.8,0.96,100.0%,0.0%,Vulnerability
056,056 — Meadows - Leger - West Edmonton Mall,99.1,0.19,100.0%,0.0%,Opportunity
101,101 — Stadium - Abbottsfield,49.4,5.6,23.8%,0.0%,Opportunity
102,102 — Kingsway - Coliseum - Abbottsfield,87.91,2.98,100.0%,0.0%,Opportunity
103,103 — Eaux Claires - Castle Downs - Kingsway,98.55,0.18,100.0%,0.0%,Vulnerability
104,104 — Coliseum - East Clareview,37.67,3.93,0.0%,0.0%,Opportunity
106,106 — Dunvegan - Northgate - Belvedere,28.5,1.75,0.0%,61.9%,Opportunity
107,107 — Belvedere - West Clareview,88.63,8.28,100.0%,0.0%,Vulnerability
108,108 — Belvedere - East Clareview,72.47,6.22,100.0%,0.0%,Vulnerability
109,109 — Northgate - Castle Downs - Hudson,97.3,1.19,100.0%,0.0%,Vulnerability
110X,110X — Eaux Claires - Downtown,92.23,4.09,100.0%,0.0%,Opportunity
111,111 — Concordia - Westmount,98.98,0.28,100.0%,0.0%,Opportunity
112,112 — Castle Downs - Eaux Claires,38.16,11.15,23.8%,28.6%,Vulnerability
113,113 — West Clareview - Northgate,81.77,4.35,100.0%,0.0%,Vulnerability
114,114 — West Clareview - Coliseum,94.99,1.44,100.0%,0.0%,Vulnerability
116,116 — Abbottsfield - East Clareview,15.54,0.65,0.0%,100.0%,Opportunity
117,117 — Eaux Claires - West Clareview,66.13,9.66,81.0%,0.0%,Vulnerability
118,118 — Eaux Claires - West Clareview,89.45,9.37,100.0%,0.0%,Vulnerability
119,119 — Eaux Claires - West Clareview,80.52,14.57,95.2%,0.0%,Vulnerability
120X,120X — Eaux Claires - Government Centre,95.35,3.24,100.0%,0.0%,Opportunity
121,Fraser - Evergreen,40.97,4.63,19.0%,0.0%,Vulnerability
122,122 — Eaux Claires - Lago Lindo - Klarvatten,30.65,10.63,9.5%,52.4%,Vulnerability
124,124 — Westmount - Eaux Claires,93.11,2.4,100.0%,0.0%,Vulnerability
127,127 — Northgate - White Oaks Square - Castle Downs,79.33,1.38,100.0%,0.0%,Vulnerability
128,128 — Northgate - Londonderry,26.42,0.78,0.0%,100.0%,Vulnerability
130X,130X — Baturyn - Eaux Claires - Government Centre,98.82,0.34,100.0%,0.0%,Opportunity
140X,140X — Palisades - Kingsway Express,72.59,4.77,100.0%,0.0%,Vulnerability
150X,150X — Dunluce - Castle Downs - Government Centre,98.16,1.02,100.0%,0.0%,Opportunity
201,201 — Downtown Edmonton Loop,45.71,6.21,9.5%,0.0%,Opportunity
202,202 — Kingsway Tc Via Nait,24.19,1.24,0.0%,100.0%,Opportunity
203,203 — Uofa Via Westmount,38.56,5.8,0.0%,0.0%,Opportunity
204,204 — Uofa Express,43.6,9.51,19.0%,0.0%,Opportunity
205,205 — West Edmonton,12.5,0.62,0.0%,100.0%,Opportunity
208,208 — Government Centre Express,78.96,7.13,100.0%,0.0%,Opportunity
211,211 — Downtown Edmonton Express,62.11,9.72,95.2%,0.0%,Opportunity
