route_id,name,short_name,score_mean,score_std,score_min,score_max,grade_stability_ab,grade_stability_de,stability_class,driver_vulnerability,driver_temporal,driver_monopoly,driver_opportunity
001,001 — Downtown - Capilano,001,84.48,10.69,39.05,96.4,99.1,0.0,Bedrock Essential,50.29,105.45,85.98,96.19
002,002 — West Edmonton Mall - Stadium - Clareview,002,99.35,0.51,94.07,99.69,100.0,0.0,Bedrock Essential,99.5,98.1,99.86,99.94
003,003 — Westmount - Stadium,003,74.26,16.55,30.17,97.7,88.8,0.0,Moderate Stability,35.33,122.67,80.97,58.07
004,004 — Lewis Farms - University - Capilano,004,92.56,8.15,50.9,99.38,100.0,0.0,Bedrock Essential,71.01,87.02,105.04,107.18
005,005 — Westmount - Downtown - Coliseum,005,98.68,1.91,79.49,99.67,100.0,0.0,Bedrock Essential,100.03,93.5,100.53,100.65
006,006 — Davies - Southgate,006,65.26,23.55,10.5,97.92,70.0,8.1,Policy Swing Corridor,2.18,126.77,43.58,88.5
007,007 — West Edmonton Mall - Downtown,007,59.97,26.56,8.72,98.57,54.7,17.4,Policy Swing Corridor,-1.62,84.05,23.71,133.72
008,008 — Abbottsfield - Downtown - University,008,99.4,0.42,95.11,99.7,100.0,0.0,Bedrock Essential,99.47,98.44,99.82,99.89
009,009 — Southgate - Eaux Claires,009,98.82,1.26,86.68,99.66,100.0,0.0,Bedrock Essential,99.04,95.5,100.31,100.44
021R,Capital — Capital Line,Capital,98.23,1.85,81.7,99.55,100.0,0.0,Bedrock Essential,98.68,93.21,100.89,100.16
022R,Metro — Metro Line,Metro,85.83,12.91,46.58,99.15,99.3,0.0,Bedrock Essential,60.77,111.39,62.23,108.94
023R,Valley — Valley Line,Valley,87.95,6.67,61.11,96.57,100.0,0.0,Bedrock Essential,70.2,81.8,103.06,96.74
031,031 — Leger - University,031,22.37,10.42,8.48,60.24,2.3,75.8,Policy Swing Corridor,13.55,-0.36,56.08,20.18
051,051 — Castle Downs - University,051,73.99,15.52,34.68,97.66,80.4,0.6,Policy Swing Corridor,81.2,41.11,119.95,53.71
052,052 — Northgate - West Edmonton Mall,052,96.55,3.54,70.49,99.37,100.0,0.0,Bedrock Essential,100.27,87.02,102.89,96.04
053,053 — West Clareview - Mill Woods,053,95.4,3.15,78.97,99.37,100.0,0.0,Bedrock Essential,94.3,94.48,104.17,88.67
054,054 — West Edmonton Mall - West Clareview,054,94.37,5.6,59.89,99.16,99.4,0.0,Bedrock Essential,91.43,79.39,102.89,103.79
055,055 — Meadows - Southgate - West Edmonton Mall,055,92.28,2.98,79.13,95.93,100.0,0.0,Bedrock Essential,87.53,98.87,96.3,86.41
056,056 — Meadows - Leger - West Edmonton Mall,056,95.89,4.64,65.75,99.42,99.9,0.0,Bedrock Essential,102.71,84.53,103.81,92.52
101,101 — Stadium - Abbottsfield,101,67.5,17.87,24.56,94.59,78.7,0.4,Policy Swing Corridor,43.46,115.53,86.43,24.55
102,102 — Kingsway - Coliseum - Abbottsfield,102,83.36,7.94,48.0,92.9,100.0,0.0,Bedrock Essential,86.2,90.95,98.68,57.61
103,103 — Eaux Claires - Castle Downs - Kingsway,103,97.03,4.63,58.69,99.54,100.0,0.0,Bedrock Essential,101.48,100.47,102.41,83.76
104,104 — Coliseum - East Clareview,104,41.69,8.95,25.92,65.05,13.1,12.1,Moderate Stability,27.21,49.42,67.77,22.38
106,106 — Dunvegan - Northgate - Belvedere,106,46.24,11.1,24.75,70.81,16.9,4.3,Moderate Stability,19.74,75.36,60.53,29.33
107,107 — Belvedere - West Clareview,107,82.09,14.17,30.11,97.53,92.2,0.0,Bedrock Essential,112.95,73.06,100.26,42.11
108,108 — Belvedere - East Clareview,108,79.53,13.67,27.85,95.95,93.3,0.0,Bedrock Essential,86.95,86.73,108.8,35.64
109,109 — Northgate - Castle Downs - Hudson,109,87.73,11.99,34.93,98.68,98.3,0.0,Bedrock Essential,111.59,81.61,103.51,54.21
110X,110X — Eaux Claires - Downtown,110X,76.55,18.37,19.05,98.48,81.0,0.0,Moderate Stability,89.77,25.19,68.09,123.14
111,111 — Concordia - Westmount,111,79.9,21.97,10.57,99.45,81.6,2.9,Policy Swing Corridor,116.18,19.81,63.13,120.48
112,112 — Castle Downs - Eaux Claires,112,35.27,15.18,9.24,71.74,19.5,41.9,Moderate Stability,54.69,-4.71,73.55,17.57
113,113 — West Clareview - Northgate,113,84.01,12.52,29.28,95.37,97.4,0.0,Bedrock Essential,93.42,98.91,101.65,42.07
114,114 — West Clareview - Coliseum,114,86.69,13.74,40.16,99.37,92.0,0.0,Bedrock Essential,106.97,59.51,115.77,64.51
116,116 — Abbottsfield - East Clareview,116,25.45,11.1,13.21,67.48,0.1,79.2,Policy Swing Corridor,8.59,63.56,16.65,12.99
117,117 — Eaux Claires - West Clareview,117,77.44,16.9,18.65,96.13,89.2,1.1,Policy Swing Corridor,85.64,112.95,88.5,22.67
118,118 — Eaux Claires - West Clareview,118,79.41,17.4,19.11,98.68,88.1,1.8,Policy Swing Corridor,120.14,80.89,89.53,27.08
119,119 — Eaux Claires - West Clareview,119,83.34,14.8,23.47,96.87,94.0,0.3,Bedrock Essential,109.04,85.52,102.64,36.14
120X,120X — Eaux Claires - Government Centre,120X,68.33,25.0,10.57,98.96,68.0,10.7,Policy Swing Corridor,96.51,7.31,37.42,132.08
121,121 — Clareview -  Fraser - Evergreen,121,50.57,15.95,16.88,84.95,39.6,11.9,Moderate Stability,49.36,97.68,49.0,6.23
122,122 — Eaux Claires - Lago Lindo - Klarvatten,122,43.79,15.61,17.89,82.39,15.0,20.6,Moderate Stability,50.09,92.44,23.46,9.16
124,124 — Westmount - Eaux Claires,124,88.38,10.76,37.73,97.95,99.4,0.0,Bedrock Essential,104.05,85.74,107.21,56.52
127,127 — Northgate - White Oaks Square - Castle Downs,127,37.35,16.44,10.39,81.17,20.6,39.1,Moderate Stability,88.22,-4.88,35.58,30.5
128,128 — Northgate - Londonderry,128,14.25,4.34,8.29,28.41,0.0,99.7,Moderate Stability,23.45,2.77,10.31,20.46
130X,130X — Baturyn - Eaux Claires - Government Centre,130X,75.89,23.93,10.57,99.31,76.7,6.5,Policy Swing Corridor,117.95,15.65,47.52,122.44
140X,140X — Palisades - Kingsway Express,140X,47.61,16.87,10.57,79.72,47.1,20.6,Moderate Stability,86.79,-7.19,57.07,53.78
150X,150X — Dunluce - Castle Downs - Government Centre,150X,78.68,21.13,10.57,98.82,81.2,3.4,Policy Swing Corridor,108.79,14.89,72.19,118.87
201,201 — Downtown Edmonton Loop,201,84.75,14.15,36.19,99.33,97.3,0.0,Bedrock Essential,51.8,104.05,66.29,116.87
202,202 — Kingsway Tc Via Nait,202,20.89,7.34,9.53,46.75,0.2,85.7,Policy Swing Corridor,18.79,0.02,24.46,40.3
203,203 — Uofa Via Westmount,203,45.86,20.11,20.51,92.83,24.7,24.4,Policy Swing Corridor,27.44,116.1,18.44,21.45
204,204 — Uofa Express,204,12.03,4.07,6.7,28.82,0.0,99.9,Moderate Stability,22.95,3.58,6.21,15.39
205,205 — West Edmonton,205,32.78,25.62,6.67,96.36,22.6,59.7,Policy Swing Corridor,5.17,0.45,3.52,121.97
208,208 — Government Centre Express,208,31.32,15.15,8.47,66.58,13.6,53.3,Policy Swing Corridor,64.56,-3.46,5.83,58.36
211,211 — Downtown Edmonton Express,211,31.77,18.86,6.65,84.08,16.9,55.2,Policy Swing Corridor,42.4,-2.6,-1.98,89.25
401,401 — Ordze - Downtown,401,26.78,17.87,6.56,84.21,11.5,68.7,Policy Swing Corridor,21.81,-1.06,-0.32,86.66
403,403 — Ordze - Government Centre,403,18.92,8.39,7.67,50.25,0.6,88.0,Policy Swing Corridor,26.28,0.83,6.33,42.25
404,404 — Ordze - University Of Alberta,404,21.22,10.7,7.9,61.8,2.9,81.6,Policy Swing Corridor,23.75,-0.0,6.45,54.67
411,411 — Bethel - Downtown,411,53.79,15.52,24.68,84.56,40.3,1.4,Policy Swing Corridor,19.48,75.34,26.59,93.74
413,413 — Bethel - Government Centre,413,21.01,7.13,10.08,43.76,0.0,84.1,Moderate Stability,28.48,-0.05,18.08,37.53
414,414 — Bethel - University Of Alberta,414,23.87,5.8,14.74,44.1,0.0,74.6,Moderate Stability,23.81,19.9,41.7,10.06
415,415 — Bethel - Nait,415,18.78,7.36,7.66,44.62,0.0,85.7,Moderate Stability,38.94,1.03,25.14,10.0
420,420 — Bethel - Millennium Place,420,4.92,1.6,2.69,13.55,0.0,100.0,Bedrock Resilient,0.83,5.23,5.79,7.84
430,430 — Bethel - Emerald Hills,430,12.4,3.64,6.78,23.22,0.0,100.0,Moderate Stability,18.63,3.57,19.42,7.97
431,431 — Bethel - Emerald Hills,431,12.05,3.44,6.73,22.62,0.0,100.0,Moderate Stability,17.33,3.69,19.15,8.03
432,432 — Bethel - Summerwood,432,8.19,2.63,4.3,20.28,0.0,100.0,Bedrock Resilient,3.69,4.84,15.95,8.26
433,433 — Bethel - Clarkdale,433,8.95,2.63,5.01,21.1,0.0,100.0,Bedrock Resilient,5.96,4.66,16.92,8.27
433A,433A — School Special,433A,13.77,5.19,6.81,36.12,0.0,97.1,Moderate Stability,29.48,3.02,14.97,7.64
440,440 — Bethel - Heritage Hills,440,9.53,2.83,5.34,22.5,0.0,100.0,Bedrock Resilient,7.08,4.51,18.21,8.34
441,441 — Bethel - Ordze - Regency,441,12.1,4.79,5.83,33.89,0.0,98.5,Moderate Stability,8.98,3.66,27.81,7.95
441A,441A — Bethel - Regency,441A,11.43,4.09,6.34,31.07,0.0,99.7,Moderate Stability,24.4,3.84,9.51,7.95
442,442 — Bethel - Nottingham,442,8.0,2.65,4.08,20.09,0.0,100.0,Bedrock Resilient,3.06,4.87,15.7,8.35
443,443 — Bethel - Ordze - Glen Allan,443,18.66,10.43,6.49,60.85,1.6,83.1,Policy Swing Corridor,13.11,1.23,53.9,6.4
450,450 — Bethel - Centre In The Park,450,8.27,2.6,4.41,20.25,0.0,100.0,Bedrock Resilient,4.02,4.82,15.98,8.27
451,451 — Bethel - Ordze - Woodbridge,451,15.07,7.03,6.33,45.4,0.0,92.8,Moderate Stability,12.05,2.56,38.36,7.3
500X,500X — Meadows - Macewan,500X,47.0,18.76,17.0,90.68,34.9,19.8,Policy Swing Corridor,29.84,8.42,39.95,109.8
501,501 — Davies - Capilano,501,65.88,12.15,40.3,91.0,70.5,0.0,Moderate Stability,40.64,66.15,105.12,51.59
502,502 — Davies - South Campus,502,15.3,8.27,4.43,49.75,0.4,93.3,Policy Swing Corridor,-1.11,2.3,20.97,39.04
503,503 — Davies - Millbourne - Woodvale,503,25.68,18.95,5.54,87.04,11.9,71.4,Policy Swing Corridor,-1.01,-0.32,13.45,90.6
504,504 — Meadows - Davies,504,23.99,12.05,6.12,62.27,3.8,72.7,Policy Swing Corridor,-7.55,33.49,13.4,56.61
506,506 — Davies - Meadows - Maple,506,70.2,10.33,40.59,87.21,96.2,0.0,Bedrock Essential,60.6,98.85,78.26,43.09
507,507 — Tamarack - Southgate,507,45.86,22.7,9.74,89.78,32.4,31.3,Policy Swing Corridor,-4.47,98.71,5.25,83.95
508,508 — Meadows - Mill Woods,508,73.39,13.23,28.66,91.61,91.1,0.0,Bedrock Essential,98.3,93.14,71.08,31.04
509,509 — Mill Woods - Millbourne,509,30.43,12.01,13.66,70.49,0.5,62.8,Policy Swing Corridor,4.68,70.08,22.84,24.14
511,511 — Mill Woods - Downtown,511,48.38,23.21,9.74,93.68,42.6,28.0,Policy Swing Corridor,67.14,-3.45,13.88,115.95
512,512 — Mill Woods - South Edmonton Common,512,34.07,10.19,18.95,66.08,0.0,42.2,Moderate Stability,11.74,66.29,21.93,36.31
